Timestamp,Record Type,Instrument Name,Premium (256ths),Quantity,Deal Source,Aggressive,Bid/Ask,Order Number,Sequence
06:22:11:507567 20180108,TRADE,2_YEAR,25560,2,1,0,A,605794000002158E,10756
06:22:11:507628 20180108,TRADE,2_YEAR,25560,4,1,0,A,6057940000021595,10759
06:22:11:507628 20180108,TRADE,2_YEAR,25560,4,1,1,B,605794000004AB10,10760
06:22:11:507652 20180108,TRADE,2_YEAR,25560,1,1,0,A,6057940000021595,10767
06:22:11:507652 20180108,TRADE,2_YEAR,25560,6,1,1,B,605794000004AB11,10768
06:22:11:507652 20180108,TRADE,2_YEAR,25560,1,1,0,A,60579400000485C8,10769
06:22:11:507652 20180108,TRADE,2_YEAR,25560,1,1,0,A,605794000004A8E3,10770
06:22:11:507652 20180108,TRADE,2_YEAR,25560,3,1,0,A,605794000004AB02,10771
06:22:11:515859 20180108,TRADE,2_YEAR,25560,5,1,1,B,605794000004AB11,10826
06:22:11:515859 20180108,TRADE,2_YEAR,25560,5,1,0,A,605794000004AB6A,10827
06:22:11:517347 20180108,TRADE,2_YEAR,25560,1,1,1,B,605794000004AB11,10834
06:22:11:517347 20180108,TRADE,2_YEAR,25560,3,1,0,A,605794000004AB77,10835
06:22:11:517347 20180108,TRADE,2_YEAR,25560,2,1,1,B,605794000004AB2F,10836
06:22:16:770716 20180108,TRADE,2_YEAR,25560,1,1,0,A,605794000004AB77,10871
06:22:16:770716 20180108,TRADE,2_YEAR,25560,1,1,1,B,605794000004ACB6,10872
06:22:16:854778 20180108,TRADE,2_YEAR,25560,1,1,0,A,605794000004AB77,10900
06:22:16:854778 20180108,TRADE,2_YEAR,25560,1,1,1,B,605794000004ACF7,10901
06:22:29:187208 20180108,TRADE,2_YEAR,25560,1,1,0,B,605794000004ADB3,10982
06:22:29:187208 20180108,TRADE,2_YEAR,25560,1,1,1,A,605794000004AE11,10983
06:22:29:188442 20180108,TRADE,2_YEAR,25560,6,1,0,B,605794000004ADFA,10989
06:22:29:188442 20180108,TRADE,2_YEAR,25560,6,1,1,A,605794000004AE16,10990
06:22:29:188509 20180108,TRADE,2_YEAR,25560,6,1,0,B,605794000004ADFA,10993
06:22:29:188509 20180108,TRADE,2_YEAR,25560,6,1,1,A,605794000004AE17,10994
06:22:29:222469 20180108,TRADE,2_YEAR,25560,2,1,1,A,605794000004AE2A,11004
06:22:29:222469 20180108,TRADE,2_YEAR,25560,2,1,0,B,605794000004AE2F,11005
06:22:34:793252 20180108,TRADE,2_YEAR,25560,10,1,0,A,605794000004AF86,11079
06:22:34:793252 20180108,TRADE,2_YEAR,25560,10,1,1,B,605794000004AFC1,11080
06:26:01:546772 20180108,TRADE,2_YEAR,25560,8,1,0,A,605794000004AF89,11131
06:26:01:546772 20180108,TRADE,2_YEAR,25560,40,1,1,B,605794000004B99D,11132
06:26:01:546772 20180108,TRADE,2_YEAR,25560,8,1,0,A,605794000004AF8A,11133
