Date,Currency,Description,Producer,Record,Bid,Ask,Bid Yield %,Ask Yield %,Maturity Date,Coupon,Last Trade Price,Last Trade Size mm,Mid Yield %,Bid Size mm,Ask Size mm,Duration,Total Volume mm,Dollar Flow,Close,High,Low,Open,VWAP,VWAY %,Best Ask Size1,Best Ask Size2,Best Ask Size3,Best Ask Size4,Best Ask Size5,Best Ask1,Best Ask2,Best Ask3,Best Ask4,Best Ask5,Best Bid Size1,Best Bid Size2,Best Bid Size3,Best Bid Size4,Best Bid Size5,Best Bid1,Best Bid2,Best Bid3,Best Bid4,Best Bid5,Sequence
08/01/2018 16:07:41.622,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,881,,,,,,,,,,881,,,,,,,,,,,,,,,,,,,,17809
08/01/2018 16:07:42.044,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,882,,,,,,,,,,882,957,,,,,,,,,,,,,338,,,,,,17810
08/01/2018 16:07:50.841,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,605,,,,,,,,17811
08/01/2018 16:07:52.513,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,,,337,,,,,,17812
08/01/2018 16:07:54.575,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,932,,,,,,,,,,932,,,,,,,,,,,,,,,,,,,,17813
08/01/2018 16:08:03.700,USD,2YR NOTE,US_500,2_YEAR,99.8359375,0,,<blank>,,,,,1.96,<blank>,<blank>,,,,,,,,,,,932,957,749,367,,99.84375,99.8515625,99.859375,99.8671875,5,932,612,,,,,,,,17814
08/01/2018 16:08:03.700,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,5,,,,,,,,,,,,8,964,949,749,,99.8359375,99.84375,99.8515625,99.859375,,,,,,,,,,,17815
08/01/2018 16:08:03.700,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17816
08/01/2018 16:08:03.763,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17817
08/01/2018 16:08:03.966,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,5,,,,,,,,,,,,931,952,749,367,,99.84375,99.8515625,99.859375,99.8671875,,923,599,,,,,,,,17818
08/01/2018 16:08:03.966,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,5,,,,,,,,,,,,,958,,,,,,,,,,605,,,,,,,,17819
08/01/2018 16:08:04.154,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,937,,,,,,,,,17820
08/01/2018 16:08:06.763,USD,2YR NOTE,US_500,2_YEAR,99.8359375,99.84375,1.96,1.956,,,99.8359375,5,1.958,2,931,,,,,,,,99.837,1.95914,931,958,749,367,333,,99.8515625,99.859375,99.8671875,99.875,2,,,,,,,,,,17821
